
 migrando datos... 

 INICIANDO EL PROCESO. PROCESANDO...
------------------------------;Legajo;Cargo;FechaCategoria;IdCategoria
NO se encontro empleado legajo;900529;1;2016-05-01;156
NO se encontro empleado legajo;900529;1;2016-05-01;226
NO se encontro empleado legajo;900530;1;2016-05-01;156
NO se encontro empleado legajo;900530;1;2016-05-01;226
NO se encontro empleado legajo;900531;1;2016-05-01;156
NO se encontro empleado legajo;900531;1;2016-05-01;226
NO se encontro empleado legajo;900533;1;2016-05-01;156
NO se encontro empleado legajo;900533;1;2016-05-01;226
NO se encontro empleado legajo;900534;1;2016-05-01;156
NO se encontro empleado legajo;900534;1;2016-05-01;226
NO se encontro empleado legajo;900535;1;2016-05-01;156
NO se encontro empleado legajo;900535;1;2016-05-01;226
NO se encontro empleado legajo;900541;1;2016-05-01;156
NO se encontro empleado legajo;900541;1;2016-05-01;226
NO se encontro empleado legajo;900542;1;2016-05-01;156
NO se encontro empleado legajo;900542;1;2016-05-01;226
NO se encontro empleado legajo;900550;1;2016-05-01;156
NO se encontro empleado legajo;900550;1;2016-05-01;226
NO se encontro empleado legajo;900551;1;2016-05-01;156
NO se encontro empleado legajo;900551;1;2016-05-01;226
NO se encontro empleado legajo;900553;1;2022-02-01;156
NO se encontro empleado legajo;900553;1;2022-02-01;226
NO se encontro empleado legajo;900558;1;2022-02-01;156
NO se encontro empleado legajo;900558;1;2022-02-01;226
NO se encontro empleado legajo;900560;1;2016-05-01;156
NO se encontro empleado legajo;900560;1;2016-05-01;226
NO se encontro empleado legajo;900564;1;2016-05-01;156
NO se encontro empleado legajo;900564;1;2016-05-01;226
NO se encontro empleado legajo;900570;1;2022-02-01;156
NO se encontro empleado legajo;900570;1;2022-02-01;226
NO se encontro empleado legajo;900582;1;2022-02-01;156
NO se encontro empleado legajo;900582;1;2022-02-01;226
NO se encontro empleado legajo;900590;1;2022-03-01;156
NO se encontro empleado legajo;900590;1;2022-03-01;226
NO se encontro empleado legajo;900591;1;2021-04-14;156
NO se encontro empleado legajo;900591;1;2021-04-14;226
NO se encontro empleado legajo;900593;1;2020-01-01;156
NO se encontro empleado legajo;900593;1;2020-01-01;226
NO se encontro empleado legajo;900596;1;2022-03-01;156
NO se encontro empleado legajo;900596;1;2022-03-01;226
NO se encontro empleado legajo;900611;1;2016-07-01;156
NO se encontro empleado legajo;900611;1;2016-07-01;226
NO se encontro empleado legajo;900613;1;2016-11-01;156
NO se encontro empleado legajo;900613;1;2016-11-01;226
NO se encontro empleado legajo;900614;1;2016-11-01;156
NO se encontro empleado legajo;900614;1;2016-11-01;226
NO se encontro empleado legajo;900615;1;2017-01-01;156
NO se encontro empleado legajo;900615;1;2017-01-01;226
NO se encontro empleado legajo;900616;1;2017-01-01;156
NO se encontro empleado legajo;900616;1;2017-01-01;226
NO se encontro empleado legajo;900630;1;2019-01-01;156
NO se encontro empleado legajo;900630;1;2019-01-01;226
NO se encontro empleado legajo;900644;1;2020-11-01;156
NO se encontro empleado legajo;900644;1;2020-11-01;226
NO se encontro empleado legajo;900646;1;2020-11-01;156
NO se encontro empleado legajo;900646;1;2020-11-01;226
NO se encontro empleado legajo;900647;1;2020-11-01;156
NO se encontro empleado legajo;900647;1;2020-11-01;226
NO se encontro empleado legajo;900649;1;2021-01-01;156
NO se encontro empleado legajo;900649;1;2021-01-01;226
NO se encontro empleado legajo;900654;1;2021-01-01;156
NO se encontro empleado legajo;900654;1;2021-01-01;226
NO se encontro empleado legajo;900665;1;2021-01-01;156
NO se encontro empleado legajo;900665;1;2021-01-01;226
NO se encontro empleado legajo;900672;1;2021-01-01;156
NO se encontro empleado legajo;900672;1;2021-01-01;226
NO se encontro empleado legajo;900679;1;2021-02-17;156
NO se encontro empleado legajo;900679;1;2021-02-17;226
NO se encontro empleado legajo;900681;1;2021-02-17;156
NO se encontro empleado legajo;900681;1;2021-02-17;226
NO se encontro empleado legajo;900694;1;2022-07-01;156
NO se encontro empleado legajo;900694;1;2022-07-01;226
NO se encontro empleado legajo;900698;1;2021-02-17;156
NO se encontro empleado legajo;900698;1;2021-02-17;226
NO se encontro empleado legajo;900699;1;2021-02-17;156
NO se encontro empleado legajo;900699;1;2021-02-17;226
NO se encontro empleado legajo;900700;1;2021-02-17;156
NO se encontro empleado legajo;900700;1;2021-02-17;226
NO se encontro empleado legajo;900702;1;2021-02-01;156
NO se encontro empleado legajo;900702;1;2021-02-01;197
NO se encontro empleado legajo;900702;1;2021-02-01;226
NO se encontro empleado legajo;900702;1;2021-02-01;4402
NO se encontro empleado legajo;900705;1;2021-03-01;156
NO se encontro empleado legajo;900705;1;2021-03-01;226
NO se encontro empleado legajo;900707;1;2021-03-01;156
NO se encontro empleado legajo;900707;1;2021-03-01;226
NO se encontro empleado legajo;900709;1;2021-03-01;156
NO se encontro empleado legajo;900709;1;2021-03-01;226
NO se encontro empleado legajo;900712;1;2021-03-01;156
NO se encontro empleado legajo;900712;1;2021-03-01;226
NO se encontro empleado legajo;900714;1;2021-03-01;156
NO se encontro empleado legajo;900714;1;2021-03-01;226
NO se encontro empleado legajo;900715;1;2021-03-01;156
NO se encontro empleado legajo;900715;1;2021-03-01;226
NO se encontro empleado legajo;900717;1;2021-03-01;156
NO se encontro empleado legajo;900717;1;2021-03-01;226
NO se encontro empleado legajo;900718;1;2021-03-01;156
NO se encontro empleado legajo;900718;1;2021-03-01;226
NO se encontro empleado legajo;900719;1;2021-03-01;156
NO se encontro empleado legajo;900719;1;2021-03-01;226
NO se encontro empleado legajo;900722;1;2021-03-19;156
NO se encontro empleado legajo;900722;1;2021-03-19;226
NO se encontro empleado legajo;900726;1;2021-03-01;156
NO se encontro empleado legajo;900726;1;2021-03-01;226
NO se encontro empleado legajo;900729;1;2021-03-01;156
NO se encontro empleado legajo;900729;1;2021-03-01;226
NO se encontro empleado legajo;900730;1;2021-04-01;156
NO se encontro empleado legajo;900730;1;2021-04-01;226
